"Project","Park","NETNCode","Site","Date","LabCode","SampleTime","SampleDepth_m","pH_Lab","ANC_ueqL","AppColor_PCU","AppColorFlag","DOC_mgL","DOCFlag","TP_ugL","TPFlag","TN_mgL","TNFlag","NO2_mgL","NO2Flag","NH3_mgL","NH3Flag","NO3_ueqL","NO3Flag","SO4_ueqL","SO4Flag","Cl_ueqL","ClFlag","SEC2016","month","year","mon_year","Date","Sample Time","Stream_Lake Temp","Test Time","Bottle Temp","NH3-N mg/l","NH3 mg/l","PO4mg/L","PO4ug/L","NO2-Nug/l(meter)","NO2 ug/l(meter)","NO2 mg/l(meter)","NO3(strip)","Cl mg/L (meter)","Cl <U+00B5>eq/L (meter)","Cl quantab units (strip)","Cl mg/L (strip)","Cl ueq/L (strip)","Rain Event","QA/QC Notes","month","year"
"NETNStream","ACAD","ACHADB","Hadlock Brook (Upper Hadlock Pond)",2017-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACHADB_20170615","06","2017","062017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACHADB","Hadlock Brook (Upper Hadlock Pond)",2017-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACHADB_20170713","07","2017","072017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACHADB","Hadlock Brook (Upper Hadlock Pond)",2017-08-02,"SWRL",1899-12-31 10:00:00,0.02,6.842,85.32837,7.545,NA,1.589,NA,2.4,NA,NA,NA,NA,"<MRL 0.001",0.00735,NA,NA,"<MRL 1",70.675,NA,141.391428571429,NA,"ACHADB_20170802","08","2017","082017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACHADB","Hadlock Brook (Upper Hadlock Pond)",2017-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACHADB_20170913","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACHADB","Hadlock Brook (Upper Hadlock Pond)",2017-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACHADB_20170913","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLKWO","Lake Wood Outlet",2017-05-04,"SWRL",1899-12-31 11:20:00,0.2,6.672,40.7307,16.52,NA,1.982,NA,4.8,NA,0.114,NA,NA,"<MRL 0.001",0.00861,NA,NA,"<MRL 1",37.5630208333333,NA,227.891086956522,NA,"ACLKWO_20170504","05","2017","052017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLKWO","Lake Wood Outlet",2017-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACLKWO_20170607","06","2017","062017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLKWO","Lake Wood Outlet",2017-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACLKWO_20170711","07","2017","072017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLKWO","Lake Wood Outlet",2017-08-10,"SWRL",1899-12-31 13:15:00,0.2,6.576,60.86543,14.054,NA,2.038,NA,6.1,NA,NA,NA,NA,"<MRL 0.001",NA,"<MRL 0.005",NA,"<MRL 1",24.8770833333333,NA,127.768571428571,NA,"ACLKWO_20170810","08","2017","082017",2017-08-10,"1315",20,"1523",20.68,0.07,0.085,NA,NA,NA,NA,NA,NA,13.8,388.75,NA,NA,NA,"N",NA,"08","2017"
"NETNStream","ACAD","ACLKWO","Lake Wood Outlet",2017-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACLKWO_20170908","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
